channel_url,video_url
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=x2mr7n2-jiQ
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=-5bYOeS8Hmw
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=tzs-wyovtCg
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=Lg3bu1pijGs
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=WzGrCU13ssY
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=aOJEZ_DQCsM
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=ViQ-4BmdWjw
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=oiTud1G4CEA
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=R2R5sXAeqGo
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=1FFzXxFJqVM
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=VuxfOFGrj9k
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=DlsbOV2qwVU
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=8X7dKqwv3QE
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=KoQb0DMEzy4
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=Z7Zw8T4VyKk
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=CKLOsrZcE2c
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=uTwp9cxUSRQ
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=2Mft9VyqM30
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=nHADgm-pTfM
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=AC3xTDZY-EU
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=wQhKv_tNk_A
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=IbH1ZVHL0po
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=_UWHRRHIXBY
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=9of9XsdW6jk
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=X_ZEYjYrVy0
https://www.youtube.com/@JohnfettermanPA,https://www.youtube.com/watch?v=UBHhfFnnNAM
