first_name,last_name,state,party,district
Scott,"Robert C. ""Bobby""",Virginia,DEMOCRATIC,3
Scott,Tim,South Carolina,REPUBLICAN,
Self,Keith,Texas,REPUBLICAN,3
Sempolinski,Joseph,New York,REPUBLICAN,23
Sessions,Pete,Texas,REPUBLICAN,17
Sewell,Terri A.,Alabama,DEMOCRATIC,7
Shaheen,Jeanne,New Hampshire,DEMOCRATIC,
Shelby,Richard C.,Alabama,REPUBLICAN,
Sherman,Brad,California,DEMOCRATIC,32
Sherrill,Mikie,New Jersey,DEMOCRATIC,11
Simpson,Michael K.,Idaho,REPUBLICAN,2
Sinema,Kyrsten,Arizona,INDEPENDENT,
Sires,Albio,New Jersey,DEMOCRATIC,8
Slotkin,Elissa,Michigan,DEMOCRATIC,7
Smith,Adam,Washington,DEMOCRATIC,9
Smith,Adrian,Nebraska,REPUBLICAN,3
Smith,Christopher H.,New Jersey,REPUBLICAN,4
Smith,Jason,Missouri,REPUBLICAN,8
Smith,Tina,Minnesota,DEMOCRATIC,
Smucker,Lloyd,Pennsylvania,REPUBLICAN,11
Sorensen,Eric,Illinois,DEMOCRATIC,17
Soto,Darren,Florida,DEMOCRATIC,9
Spanberger,Abigail Davis,Virginia,DEMOCRATIC,7
Spartz,Victoria,Indiana,REPUBLICAN,5
Speier,Jackie,California,DEMOCRATIC,14
Stabenow,Debbie,Michigan,DEMOCRATIC,
Stansbury,Melanie Ann,New Mexico,DEMOCRATIC,1
Stanton,Greg,Arizona,DEMOCRATIC,4
Stauber,Pete,Minnesota,REPUBLICAN,8
Steel,Michelle,California,REPUBLICAN,45
Stefanik,Elise M.,New York,REPUBLICAN,21
Steil,Bryan,Wisconsin,REPUBLICAN,1
Steube,W. Gregory,Florida,REPUBLICAN,17
Stevens,Haley M.,Michigan,DEMOCRATIC,11
Stewart,Chris,Utah,REPUBLICAN,2
Stivers,Steve,Ohio,REPUBLICAN,15
Strickland,Marilyn,Washington,DEMOCRATIC,10
Strong,Dale,Alabama,REPUBLICAN,5
Sullivan,Dan,Alaska,REPUBLICAN,
Suozzi,Thomas R.,New York,DEMOCRATIC,3
Swalwell,Eric,California,DEMOCRATIC,14
Sykes,Emilia Strong,Ohio,DEMOCRATIC,13
Sánchez,Linda T.,California,DEMOCRATIC,38
Takano,Mark,California,DEMOCRATIC,39
Taylor,Van,Texas,REPUBLICAN,3
Tenney,Claudia,New York,REPUBLICAN,24
Tester,Jon,Montana,DEMOCRATIC,
Thanedar,Shri,Michigan,DEMOCRATIC,13
Thompson,Bennie G.,Mississippi,DEMOCRATIC,2
Thompson,Glenn,Pennsylvania,REPUBLICAN,15
Thompson,Mike,California,DEMOCRATIC,4
Thune,John,South Dakota,REPUBLICAN,
Tiffany,Thomas P.,Wisconsin,REPUBLICAN,7
Tillis,Thomas,North Carolina,REPUBLICAN,
Timmons,William R. IV,South Carolina,REPUBLICAN,4
Titus,Dina,Nevada,DEMOCRATIC,1
Tlaib,Rashida,Michigan,DEMOCRATIC,12
Tokuda,Jill N.,Hawaii,DEMOCRATIC,2
Tonko,Paul,New York,DEMOCRATIC,20
Toomey,Patrick,Pennsylvania,REPUBLICAN,
Torres,Norma J.,California,DEMOCRATIC,35
Torres,Ritchie,New York,DEMOCRATIC,15
Trahan,Lori,Massachusetts,DEMOCRATIC,3
Trone,David J.,Maryland,DEMOCRATIC,6
Tuberville,Tommy,Alabama,REPUBLICAN,
Turner,Michael R.,Ohio,REPUBLICAN,10
Underwood,Lauren,Illinois,DEMOCRATIC,14
Upton,Fred,Michigan,REPUBLICAN,6
Valadao,David G.,California,REPUBLICAN,22
Van Drew,Jefferson,New Jersey,REPUBLICAN,2
Van Duyne,Beth,Texas,REPUBLICAN,24
Van Hollen,Chris,Maryland,DEMOCRATIC,
Van Orden,Derrick,Wisconsin,REPUBLICAN,3
Vance,J.D.,Ohio,REPUBLICAN,
Vargas,Juan,California,DEMOCRATIC,52
Vasquez,Gabe,New Mexico,DEMOCRATIC,2
Veasey,Marc A.,Texas,DEMOCRATIC,33
Vela,Filemon,Texas,DEMOCRATIC,34
Velazquez,Nydia M.,New York,DEMOCRATIC,7
Wagner,Ann,Missouri,REPUBLICAN,2
Walberg,Tim,Michigan,REPUBLICAN,5
Walorski,Jackie,Indiana,REPUBLICAN,2
Waltz,Michael,Florida,REPUBLICAN,6
Warner,Mark R.,Virginia,DEMOCRATIC,
Warnock,Raphael G.,Georgia,DEMOCRATIC,
Warren,Elizabeth,Massachusetts,DEMOCRATIC,
Wasserman Schultz,Debbie,Florida,DEMOCRATIC,25
Waters,Maxine,California,DEMOCRATIC,43
Watson Coleman,Bonnie,New Jersey,DEMOCRATIC,12
Weber,Randy K.,Texas,REPUBLICAN,14
Webster,Daniel,Florida,REPUBLICAN,11
Welch,Peter,Vermont,DEMOCRATIC,
Wenstrup,Brad R.,Ohio,REPUBLICAN,2
Westerman,Bruce,Arkansas,REPUBLICAN,4
Wexton,Jennifer,Virginia,DEMOCRATIC,10
Whitehouse,Sheldon,Rhode Island,DEMOCRATIC,
Wicker,Roger F.,Mississippi,REPUBLICAN,
Wild,Susan,Pennsylvania,DEMOCRATIC,7
Williams,Brandon,New York,REPUBLICAN,22
Williams,Nikema,Georgia,DEMOCRATIC,5
Williams,Roger,Texas,REPUBLICAN,25
Wilson,Frederica S.,Florida,DEMOCRATIC,24
Wilson,Joe,South Carolina,REPUBLICAN,2
Wittman,Robert J.,Virginia,REPUBLICAN,1
Womack,Steve,Arkansas,REPUBLICAN,3
Wright,Ron,Texas,REPUBLICAN,6
Wyden,Ron,Oregon,DEMOCRATIC,
Yakym,Rudy,Indiana,REPUBLICAN,2
Yarmuth,John A.,Kentucky,DEMOCRATIC,3
Young,Don,Alaska,REPUBLICAN,At Large
Young,Todd,Indiana,REPUBLICAN,
Zeldin,Lee M.,New York,REPUBLICAN,1
Zinke,Ryan K.,Montana,REPUBLICAN,1
