first_name,last_name,state,party,district
Cramer,Kevin,North Dakota,REPUBLICAN,
Crane,Elijah,Arizona,REPUBLICAN,2
Crapo,Mike,Idaho,REPUBLICAN,
Crawford,"Eric A. ""Rick""",Arkansas,REPUBLICAN,1
Crenshaw,Dan,Texas,REPUBLICAN,2
Crist,Charlie,Florida,DEMOCRATIC,13
Crockett,Jasmine,Texas,DEMOCRATIC,30
Crow,Jason,Colorado,DEMOCRATIC,6
Cruz,Ted,Texas,REPUBLICAN,
Cuellar,Henry,Texas,DEMOCRATIC,28
Curtis,John R.,Utah,REPUBLICAN,3
Cárdenas,Tony,California,DEMOCRATIC,29
D'Esposito,Anthony,New York,REPUBLICAN,4
Daines,Steve,Montana,REPUBLICAN,
Davids,Sharice,Kansas,DEMOCRATIC,3
Davidson,Warren,Ohio,REPUBLICAN,8
Davis,Danny K.,Illinois,DEMOCRATIC,7
Davis,Donald G.,North Carolina,DEMOCRATIC,1
Davis,Rodney,Illinois,REPUBLICAN,13
De La Cruz,Monica,Texas,REPUBLICAN,15
Dean,Madeleine,Pennsylvania,DEMOCRATIC,4
DeFazio,Peter A.,Oregon,DEMOCRATIC,4
DeGette,Diana,Colorado,DEMOCRATIC,1
DeLauro,Rosa L.,Connecticut,DEMOCRATIC,3
DelBene,Suzan K.,Washington,DEMOCRATIC,1
Delgado,Antonio,New York,DEMOCRATIC,19
Deluzio,Christopher R.,Pennsylvania,DEMOCRATIC,17
Demings,Val Butler,Florida,DEMOCRATIC,10
DeSaulnier,Mark,California,DEMOCRATIC,10
DesJarlais,Scott,Tennessee,REPUBLICAN,4
Deutch,Theodore E.,Florida,DEMOCRATIC,22
Diaz-Balart,Mario,Florida,REPUBLICAN,26
Dingell,Debbie,Michigan,DEMOCRATIC,6
Doggett,Lloyd,Texas,DEMOCRATIC,37
Donalds,Byron,Florida,REPUBLICAN,19
Doyle,Michael F.,Pennsylvania,DEMOCRATIC,18
Duarte,John S.,California,REPUBLICAN,13
Duckworth,Tammy,Illinois,DEMOCRATIC,
Duncan,Jeff,South Carolina,REPUBLICAN,3
Dunn,Neal P.,Florida,REPUBLICAN,2
Durbin,Richard J.,Illinois,DEMOCRATIC,
Edwards,Chuck,North Carolina,REPUBLICAN,11
Ellzey,Jake,Texas,REPUBLICAN,6
Emmer,Tom,Minnesota,REPUBLICAN,6
Ernst,Joni,Iowa,REPUBLICAN,
Escobar,Veronica,Texas,DEMOCRATIC,16
Eshoo,Anna G.,California,DEMOCRATIC,16
Espaillat,Adriano,New York,DEMOCRATIC,13
Estes,Ron,Kansas,REPUBLICAN,4
Evans,Dwight,Pennsylvania,DEMOCRATIC,3
Ezell,Mike,Mississippi,REPUBLICAN,4
Fallon,Pat,Texas,REPUBLICAN,4
Feenstra,Randy,Iowa,REPUBLICAN,4
Feinstein,Dianne,California,DEMOCRATIC,
Ferguson,A. Drew,Georgia,REPUBLICAN,3
Fetterman,John,Pennsylvania,DEMOCRATIC,
Finstad,Brad,Minnesota,REPUBLICAN,1
Fischbach,Michelle,Minnesota,REPUBLICAN,7
Fischer,Deb,Nebraska,REPUBLICAN,
Fitzgerald,Scott,Wisconsin,REPUBLICAN,5
Fitzpatrick,Brian K.,Pennsylvania,REPUBLICAN,1
Fleischmann,Charles J.,Tennessee,REPUBLICAN,3
Fletcher,Lizzie,Texas,DEMOCRATIC,7
Flood,Mike,Nebraska,REPUBLICAN,1
Flores,Mayra,Texas,REPUBLICAN,34
Fortenberry,Jeff,Nebraska,REPUBLICAN,1
Foster,Bill,Illinois,DEMOCRATIC,11
Foushee,Valerie P.,North Carolina,DEMOCRATIC,4
Foxx,Virginia,North Carolina,REPUBLICAN,5
Frankel,Lois,Florida,DEMOCRATIC,22
Franklin,C. Scott,Florida,REPUBLICAN,18
Frost,Maxwell,Florida,DEMOCRATIC,10
Fry,Russell,South Carolina,REPUBLICAN,7
Fudge,Marcia L.,Ohio,DEMOCRATIC,11
Fulcher,Russ,Idaho,REPUBLICAN,1
Gaetz,Matt,Florida,REPUBLICAN,1
