first_name,last_name,state,party,district,official_channel,campaign_channel
Braun,Mike,Indiana,REPUBLICAN,,https://www.youtube.com/@SenatorBraun,https://www.youtube.com/@mikebraunforindiana2210
Brecheen,Josh,Oklahoma,REPUBLICAN,2,,https://www.youtube.com/@joshbrecheenforcongress14
Britt,Katie Boyd,Alabama,REPUBLICAN,,https://www.youtube.com/@senkatiebritt,https://www.youtube.com/@KatieBrittforAL
Brooks,Mo,Alabama,REPUBLICAN,5,https://www.youtube.com/@RepMoBrooks,https://www.youtube.com/@mobrooks4094
Brown,Anthony G.,Maryland,DEMOCRATIC,4,https://www.youtube.com/@RepAnthonyBrown,https://www.youtube.com/@AnthonyBrownMaryland
Brown,Sherrod,Ohio,DEMOCRATIC,,https://www.youtube.com/@SenSherrodBrown,https://www.youtube.com/@sherrodbrown8620
Brown,Shontel M.,Ohio,DEMOCRATIC,11,https://www.youtube.com/@rep.shontelbrown7912,https://www.youtube.com/@shontelbrownforcongress3337
Brownley,Julia,California,DEMOCRATIC,26,https://www.youtube.com/@RepBrownley,https://www.youtube.com/@juliabrownleyforcongress2551
Buchanan,Vern,Florida,REPUBLICAN,16,https://www.youtube.com/@VernBuchanan,
Buck,Ken,Colorado,REPUBLICAN,4,https://www.youtube.com/@RepKenBuck,https://www.youtube.com/@buckforco
Bucshon,Larry,Indiana,REPUBLICAN,8,https://www.youtube.com/@RepLarryBucshon,https://www.youtube.com/@larrybucshonbucshonforcong6859
Budd,Ted,North Carolina,REPUBLICAN,,https://www.youtube.com/@SenTedBudd,https://www.youtube.com/@tedbuddforsenate1362
Budzinski,Nikki,Illinois,DEMOCRATIC,13,https://www.youtube.com/@RepNikkiB,https://www.youtube.com/@nikkibudzinski7868
Burchett,Tim,Tennessee,REPUBLICAN,2,https://www.youtube.com/@congressmantimburchett2448,https://www.youtube.com/@burchettforcongress7919
Burgess,Michael C.,Texas,REPUBLICAN,26,https://www.youtube.com/@MichaelCBurgessMD,
Burlison,Eric,Missouri,REPUBLICAN,7,https://www.youtube.com/@RepEricBurlison,https://www.youtube.com/@EricBurlison
Burr,Richard,North Carolina,REPUBLICAN,,https://www.youtube.com/@SenatorRichardBurr,
Bush,Cori,Missouri,DEMOCRATIC,1,https://www.youtube.com/@CoriBushForCongress,
Bustos,Cheri,Illinois,DEMOCRATIC,17,https://www.youtube.com/@RepCheri,https://www.youtube.com/@BustosForCongress
Butterfield,G. K.,North Carolina,DEMOCRATIC,1,https://www.youtube.com/@GKBNC01,
Calvert,Ken,California,REPUBLICAN,41,https://www.youtube.com/@RepKenCalvert,https://www.youtube.com/@CalvertforCongress
Cammack,Kat,Florida,REPUBLICAN,3,https://www.youtube.com/@repkatcammack,https://www.youtube.com/@katforcongress3861
Cantwell,Maria,Washington,DEMOCRATIC,,https://www.youtube.com/@SenatorCantwell,
Capito,Shelley Moore,West Virginia,REPUBLICAN,,https://www.youtube.com/@senatorshelleymoorecapito4636,
Caraveo,Yadira,Colorado,DEMOCRATIC,8,https://www.youtube.com/@dr.yadiracaraveoforcongres1298,
Carbajal,Salud O.,California,DEMOCRATIC,24,https://www.youtube.com/@RepCarbajal,https://www.youtube.com/@carbajalforcongress9017
Cardin,Benjamin L.,Maryland,DEMOCRATIC,,https://www.youtube.com/@SenatorCardin,https://www.youtube.com/@bencardin2012
Carey,Mike,Ohio,REPUBLICAN,15,,https://www.youtube.com/@careyforcongress1131
Carl,Jerry L.,Alabama,REPUBLICAN,1,https://www.youtube.com/@u.s.representativejerrycar1371,https://www.youtube.com/@jerrycarl4575
Carper,Thomas R.,Delaware,DEMOCRATIC,,https://www.youtube.com/@SenatorCarper,https://www.youtube.com/@carperfordelaware
Carson,Andre,Indiana,DEMOCRATIC,7,https://www.youtube.com/@RepAndreCarson,
Carter,Earl L.,Georgia,REPUBLICAN,1,https://www.youtube.com/@CongressmanBuddyCarter,https://www.youtube.com/@buddycarter7939
Carter,John R.,Texas,REPUBLICAN,31,https://www.youtube.com/@RepJohnCarter,https://www.youtube.com/@carterforcongress2595
Carter,Troy,Louisiana,DEMOCRATIC,2,https://www.youtube.com/@congressmantroya.cartersr.2041,https://www.youtube.com/@troycarterforcongress6975
Cartwright,Matt,Pennsylvania,DEMOCRATIC,8,https://www.youtube.com/@RepMattCartwright,https://www.youtube.com/@Cartwright4PA
Casar,Greg,Texas,DEMOCRATIC,35,https://www.youtube.com/@repcasar,https://www.youtube.com/@gregcasar9534
Case,Ed,Hawaii,DEMOCRATIC,1,https://www.youtube.com/@RepEdCase,https://www.youtube.com/@edcasehawaii
Casey,Robert P.,Pennsylvania,DEMOCRATIC,,https://www.youtube.com/@SenatorBobCasey,https://www.youtube.com/@bobcaseyforsenate8409
Cassidy,Bill,Louisiana,REPUBLICAN,,https://www.youtube.com/@SenatorBillCassidy,https://www.youtube.com/@cassidypress563
Casten,Sean,Illinois,DEMOCRATIC,6,https://www.youtube.com/@seancasten9600,https://www.youtube.com/@seancasten2115
Castor,Kathy,Florida,DEMOCRATIC,14,https://www.youtube.com/@RepKathyCastor,https://www.youtube.com/@kathycastor4362
Castro,Joaquin,Texas,DEMOCRATIC,20,https://www.youtube.com/@JoaquinCastroTX,https://www.youtube.com/@CastroforCongress
Cawthorn,Madison,North Carolina,REPUBLICAN,11,https://www.youtube.com/@madisoncawthorn7729,
Chabot,Steve,Ohio,REPUBLICAN,1,https://www.youtube.com/@CongressmanSteveChabot,https://www.youtube.com/@ChabotforCongress
Chavez-DeRemer,Lori,Oregon,REPUBLICAN,5,https://www.youtube.com/@RepLCD,https://www.youtube.com/@lorichavez-deremer2250
Cheney,Liz,Wyoming,REPUBLICAN,At Large,https://www.youtube.com/@RepLizCheney,https://www.youtube.com/@CheneyForWyoming
Cherfilus-McCormick,Sheila,Florida,DEMOCRATIC,20,https://www.youtube.com/@congresswomanscm,https://www.youtube.com/@sheilacherfilus-mccormick6863
Chu,Judy,California,DEMOCRATIC,28,https://www.youtube.com/@RepJudyChu,https://www.youtube.com/@judychuforcongress
Cicilline,David N.,Rhode Island,DEMOCRATIC,1,https://www.youtube.com/@RepDavidCicilline,https://www.youtube.com/@davidcicilline
Ciscomani,Juan,Arizona,REPUBLICAN,6,https://www.youtube.com/@RepJuanCiscomani,https://www.youtube.com/@juanciscomani36
Clark,Katherine M.,Massachusetts,DEMOCRATIC,5,https://www.youtube.com/@KatherineClarkMA05,https://www.youtube.com/@kclarkcongress
Clarke,Yvette D.,New York,DEMOCRATIC,9,https://www.youtube.com/@congresswomanyvetted.clark3802,https://www.youtube.com/@congresswomanclarke2642
Cleaver,Emanuel,Missouri,DEMOCRATIC,5,https://www.youtube.com/@repcleaver,https://www.youtube.com/@emanuelcleaver1829
Cline,Ben,Virginia,REPUBLICAN,6,https://www.youtube.com/@benclineforcongress5862,
Cloud,Michael,Texas,REPUBLICAN,27,https://www.youtube.com/@RepCloudTX,https://www.youtube.com/@michaelcloudforcongress7714
Clyburn,James E.,South Carolina,DEMOCRATIC,6,https://www.youtube.com/@repjamesclyburn,
Clyde,Andrew S.,Georgia,REPUBLICAN,9,https://www.youtube.com/@rep.andrewclyde9899,https://www.youtube.com/@andrewclydeforcongress218
Cohen,Steve,Tennessee,DEMOCRATIC,9,https://www.youtube.com/@CohenForCongress2010,https://www.youtube.com/@stevecohen5866
Cole,Tom,Oklahoma,REPUBLICAN,4,https://www.youtube.com/@tomcoleok04,https://www.youtube.com/@tomcoleforcongress6086
Collins,Mike,Georgia,REPUBLICAN,10,https://www.youtube.com/@mikecollinsforcongress5332,https://www.youtube.com/@mikecollinsforcongress4334
Collins,Susan M.,Maine,REPUBLICAN,,https://www.youtube.com/@Collins4Senator,https://www.youtube.com/@senatorsusancollins4789
Comer,James,Kentucky,REPUBLICAN,1,https://www.youtube.com/@oversightandaccountability,https://www.youtube.com/@NationalPressClubLive
Connolly,Gerald E.,Virginia,DEMOCRATIC,11,https://www.youtube.com/@gerryconnollyforcongress2582,https://www.youtube.com/@RepConnolly
Conway,Connie,California,REPUBLICAN,22,https://www.youtube.com/channel/UCHTpZGnA5Nw7jkTiZs-emrA,https://www.youtube.com/@patsimonejr
Coons,Christopher A.,Delaware,DEMOCRATIC,,https://www.youtube.com/@senatorchriscoons,https://www.youtube.com/@senatorchriscoons7685
Cooper,Jim,Tennessee,DEMOCRATIC,5,https://www.youtube.com/@RepJimCooper,https://www.youtube.com/@jimcooperdesmockgov.7373
Cornyn,John,Texas,REPUBLICAN,,https://www.youtube.com/@SenJohnCornyn,https://www.youtube.com/@TexansForJohnCornyn
